"","Date","SPX","GLD","USO","SLV","EUR.USD","day","month","year","lag_SPX","lag_GLD","lag_USO","lag_SLV","lag_EUR.USD","norm_SPX","norm_USO","norm_SLV","norm_EUR.USD","gold_label"
"1",2008-01-02,1447.160034,84.860001,78.470001,15.18,1.471692,2,1,2008,NA,NA,NA,NA,NA,0.350870072085121,0.643809341385792,0.164800841697518,0.77292403229293,"Same"
"2",2008-01-03,1447.160034,85.57,78.370003,15.285,1.474491,3,1,2008,1447.160034,84.860001,78.470001,15.18,1.471692,0.350870072085121,0.642896284434908,0.167534504948425,0.777924469987548,"Up"
"3",2008-01-04,1411.630005,85.129997,77.309998,15.167,1.475492,4,1,2008,1447.160034,85.57,78.370003,15.285,1.474491,0.334693147029605,0.633217641529831,0.164462388152168,0.779712765140214,"Down"
"4",2008-01-07,1416.180054,84.769997,75.5,15.053,1.468299,7,1,2008,1411.630005,85.129997,77.309998,15.167,1.475492,0.336764797510721,0.616690998447106,0.161494410908327,0.766862408463763,"Down"
"5",2008-01-08,1390.189941,86.779999,76.059998,15.59,1.557099,8,1,2008,1416.180054,84.769997,75.5,15.053,1.468299,0.324931423826017,0.621804201374976,0.175475145820107,0.925504376052924,"Up"
"6",2008-01-09,1409.130005,86.550003,75.25,15.52,1.466405,9,1,2008,1390.189941,86.779999,76.059998,15.59,1.557099,0.333554889792641,0.614408310416135,0.173652703652835,0.763478761091986,"Down"
"7",2008-01-10,1420.329956,88.25,74.019997,16.061001,1.4801,10,1,2008,1409.130005,86.550003,75.25,15.52,1.466405,0.338654259904398,0.603177457911501,0.187737604151919,0.787944996971868,"Up"
"8",2008-01-11,1401.02002,88.580002,73.089996,16.077,1.479006,11,1,2008,1420.329956,88.25,74.019997,16.061001,1.4801,0.329862390145474,0.594685849305537,0.188154136326693,0.785990556515308,"Up"
"9",2008-01-14,1416.25,89.540001,74.25,16.280001,1.4869,14,1,2008,1401.02002,88.580002,73.089996,16.077,1.479006,0.336796644127,0.605277558292251,0.193439244646667,0.800093255751218,"Up"
"10",2008-01-15,1380.949951,87.989998,72.779999,15.834,1.48021,15,1,2008,1416.25,89.540001,74.25,16.280001,1.4869,0.320724429631228,0.59185534353939,0.181827658517452,0.78814151292271,"Down"
"11",2008-01-16,1373.199951,86.699997,71.849998,15.654,1.466405,16,1,2008,1380.949951,87.989998,72.779999,15.834,1.48021,0.317195832196639,0.583363734933426,0.177141378658754,0.763478761091986,"Down"
"12",2008-01-17,1333.25,86.5,71.029999,15.717,1.464,17,1,2008,1373.199951,86.699997,71.849998,15.654,1.466405,0.299006503859797,0.575876527322593,0.178781576609298,0.759182207803112,"Down"
"13",2008-01-18,1325.189941,87.419998,71.540001,16.030001,1.461796,18,1,2008,1333.25,86.5,71.029999,15.717,1.464,0.295336735664955,0.580533229167278,0.186930522620699,0.755244742751688,"Up"
"14",2008-01-22,1310.5,88.169998,70.550003,15.902,1.464794,22,1,2008,1325.189941,87.419998,71.540001,16.030001,1.461796,0.288648363003426,0.571493802826138,0.183598030908515,0.760600695666466,"Up"
"15",2008-01-23,1338.599976,87.889999,69.5,15.9,1.463208,23,1,2008,1310.5,88.169998,70.550003,15.902,1.464794,0.301442363419631,0.561906485703803,0.183545961132307,0.757767292957047,"Down"
"16",2008-01-24,1352.069946,90.080002,70.93,16.299999,1.47741,24,1,2008,1338.599976,87.889999,69.5,15.9,1.463208,0.307575279753306,0.574963461240957,0.193959890338969,0.783139288719448,"Up"
"17",2008-01-25,1330.609985,90.300003,71.910004,16.298,1.467502,25,1,2008,1352.069946,90.080002,70.93,16.299999,1.47741,0.29780449738802,0.583911634845372,0.193907846597649,0.765438561074478,"Up"
"18",2008-01-28,1353.959961,91.75,72.349998,16.549999,1.478809,28,1,2008,1330.609985,90.300003,71.910004,16.298,1.467502,0.308435809053994,0.587929110995368,0.200468612364937,0.785638614312436,"Up"
"19",2008-01-29,1362.300049,91.150002,72.980003,16.534,1.477192,29,1,2008,1353.959961,91.75,72.349998,16.549999,1.478809,0.31223307526316,0.593681530487175,0.200052080190163,0.782749829835052,"Down"
"20",2008-01-30,1355.810059,92.059998,73.080002,16.674999,1.483107,30,1,2008,1362.300049,91.150002,72.980003,16.534,1.477192,0.309278164029031,0.594594596568811,0.203722973377921,0.793317028464442,"Up"
"21",2008-01-31,1378.550049,91.400002,72.349998,16.818001,1.486503,31,1,2008,1355.810059,92.059998,73.080002,16.674999,1.483107,0.319631747303426,0.587929110995368,0.207446014446551,0.799384011819541,"Down"
"22",2008-02-01,1395.420044,89.349998,70.470001,16.618999,1.479991,1,2,2008,1378.550049,91.400002,72.349998,16.818001,1.486503,0.327312704861944,0.570763324394723,0.202265019644104,0.78775026752967,"Down"
"23",2008-02-04,1380.819946,89.099998,71.370003,16.514999,1.4828,4,2,2008,1395.420044,89.349998,70.470001,16.618999,1.479991,0.320665237978391,0.578981019567722,0.199557391281301,0.792768570310727,"Down"
"24",2008-02-05,1336.640015,87.68,70.150002,16.167,1.463807,5,2,2008,1380.819946,89.099998,71.370003,16.514999,1.4828,0.300549987502664,0.567841492845832,0.190497276256042,0.758837411634816,"Down"
"25",2008-02-06,1326.449951,88.949997,69.019997,16.375,1.46171,6,2,2008,1336.640015,87.68,70.150002,16.167,1.463807,0.295910421865414,0.557523697292083,0.195912532981647,0.755091103008302,"Up"
"26",2008-02-07,1336.910034,89.849998,69.800003,16.67,1.44789,7,2,2008,1326.449951,88.949997,69.019997,16.375,1.46171,0.300672927935011,0.564645738733225,0.20359282497229,0.730401553547917,"Up"
"27",2008-02-08,1331.290039,91,72.900002,17.025999,1.557099,8,2,2008,1336.910034,89.849998,69.800003,16.67,1.44789,0.298114127942831,0.592951061186512,0.212861219102381,0.925504376052924,"Up"
"28",2008-02-11,1339.130005,91.330002,74.550003,17.4,1.4502,11,2,2008,1331.290039,91,72.900002,17.025999,1.557099,0.301683687157651,0.608016811321673,0.222598293288117,0.734528388515608,"Up"
"29",2008-02-12,1348.859985,89.330002,73.589996,17.033001,1.458194,12,2,2008,1339.130005,91.330002,74.550003,17.4,1.4502,0.306113775217857,0.599251225367479,0.213043515388884,0.74880973861592,"Down"
"30",2008-02-13,1367.209961,89.440002,74.110001,17.132,1.455604,13,2,2008,1348.859985,89.330002,73.589996,17.033001,1.458194,0.314468572409903,0.603999262125659,0.215620943276279,0.744182681227903,"Up"
